"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1935587423570071582","Thu Jun 19 06:36:17 +0000 2025","0","#saveTNTN #saveTessonilo #SaveIndonesia #SaveRajaAmpat Hutan Sumatra dan Kalimantan bukan milik kita saja. Mereka milik dunia. Dan anak cucu kita nanti. Kalau sekarang kita biarkan habis apa yang akan kita wariskan?","1935587423570071582","","","in","","0","0","0","https://x.com/undefined/status/1935587423570071582","415982172",
"1935565662837186785","Thu Jun 19 06:35:06 +0000 2025","0","Seekor gajah kecil kehilangan ibunya. Orangutan tak punya pohon lagi. Harimau kakinya putus kena jerat. Mereka bukan tokoh fiksi. Mereka korban pembangunan tanpa hati. #saveTNTN #saveTessonilo #SaveIndonesia #SaveRajaAmpat","1935587124742627793","","Ryuu531","in","","0","0","0","https://x.com/undefined/status/1935587124742627793","415982172",
"1935587006001910046","Thu Jun 19 06:34:38 +0000 2025","11","Semangat siang semua! #SaveRajaAmpat #LengserkanGibran @HarryPattyRM00 @Ary_PrasKe2 @widarto63285827 @S4N_W1B1 @wiyantokdr54 @WisanggeniLagi @Wan77575 @EviDrajat @SuwitoRamlie @Wagiso_Gi @albert_morafia @ImamAza8 @rpanggahza @AngingMamiri26 @vicko_twitt @NusantaraJaya26 https://t.co/yYF0YwILAy","1935587006001910046","https://pbs.twimg.com/media/GtyWH45a4AAaDBn.jpg","","in","","0","6","6","https://x.com/undefined/status/1935587006001910046","1292360032202272768",
"1935585135132647476","Thu Jun 19 06:27:12 +0000 2025","0"," Hutan Hujan Tropis Indonesia: Warisan Dunia yang Terluka Indonesia punya hutan hujan tropis terbesar ke-3 di dunia setelah Brasil dan Kongo. ️ Pulau Kalimantan (Borneo) dan Sumatra menyimpan sebagian besar hutan tropis kita #saveTNTN #savetessonilo #saverajaampat","1935585135132647476","","","in","","0","0","0","https://x.com/undefined/status/1935585135132647476","415982172",
"1935584083532521601","Thu Jun 19 06:23:01 +0000 2025","0","Konten2 jahat : #SaveRajaAmpat #IndonesiaGelap Ect ","1935584083532521601","","","nl","","0","0","0","https://x.com/undefined/status/1935584083532521601","181125814",
"1935329150518313381","Thu Jun 19 06:17:01 +0000 2025","2","@tempodotco #iStandbyPapua #SaveRajaAmpat #LengserkanGibran https://t.co/pzXBAMUbbg","1935582573776027875","","tempodotco","qme","","0","0","2","https://x.com/undefined/status/1935582573776027875","1864781185165201408",
"1935582113816088719","Thu Jun 19 06:15:19 +0000 2025","1","Sufmi Dasko Ahmad menunjukkan peran penting sebagai jembatan komunikasi antar fraksi dan antar lembaga dalam menyikapi isu-isu politik #JusticeForArgo #SaveRajaAmpat #MyGoldenBloodFinalEP #zonauang #ITSSKIN_Presenter_Dunk #BLACKPINK https://t.co/32mIzO6rLz","1935582145613091083","https://pbs.twimg.com/media/GtyRtBDW8AAu-Ya.jpg","AzizLaheut","in","","0","0","0","https://x.com/undefined/status/1935582145613091083","1435790843051266051",
"1935582113816088719","Thu Jun 19 06:15:15 +0000 2025","1","Sebagai pimpinan DPR Sufmi Dasco Ahmad memainkan peran strategis dalam menjaga stabilitas parlemen #JusticeForArgo #SaveRajaAmpat #MyGoldenBloodFinalEP #zonauang #ITSSKIN_Presenter_Dunk #BLACKPINK https://t.co/cDTZ2H8yxJ","1935582128902975775","https://pbs.twimg.com/media/GtyRr-dXQAATnYq.jpg","AzizLaheut","in","","0","1","0","https://x.com/undefined/status/1935582128902975775","1435790843051266051",
"1935582113816088719","Thu Jun 19 06:15:11 +0000 2025","1","Langkah strategis DPR dalam memproses isu politik nasional #JusticeForArgo #SaveRajaAmpat #MyGoldenBloodFinalEP #zonauang #ITSSKIN_Presenter_Dunk #BLACKPINK https://t.co/jUSICXYIc0","1935582113816088719","https://pbs.twimg.com/media/GtyRrEPXAAAjPjl.jpg","","in","","0","1","0","https://x.com/undefined/status/1935582113816088719","1435790843051266051",
"1935211992534642862","Thu Jun 19 06:08:19 +0000 2025","0","@kaiyuugyo_nc @kyoukai691 @BigAlphaID @pandji Padahal butuh suara sebanyak mungkin untuk #SaveRajaAmpat kenapa malah @pandji dan fans nya malah melakukan sebaliknya ya?","1935580382159888610","","kaiyuugyo_nc","in","","0","0","0","https://x.com/undefined/status/1935580382159888610","593209236",
"1935211992534642862","Thu Jun 19 06:06:34 +0000 2025","0","@MRestuRama @kyoukai691 @BigAlphaID @pandji Sekarang sata bertanya bolehkah orang yang masih membuang sampah sembarangan ikut menyuarakan #SaveRajaAmpat ?","1935579944622698910","","MRestuRama","in","","0","0","0","https://x.com/undefined/status/1935579944622698910","593209236",
"1935578314674262051","Thu Jun 19 06:00:06 +0000 2025","0","Laut tetap kaya takkan kurang cuma hati dan budi manusia semakin dangkal dan miskin. - Pramoedya Ananta Toer #SaveRajaAmpat #IndonesiaEmas","1935578314674262051","","","in","","0","0","0","https://x.com/undefined/status/1935578314674262051","1872885865955115011",
"1935578306012958751","Thu Jun 19 06:00:04 +0000 2025","0","Apa kata Minke nanti kalau kau jadi kuyu tidak menarik? Gadis secantik apa pun takkan menarik kalau sakit. - Pramoedya Ananta Toer #SaveRajaAmpat #IndonesiaEmas","1935578306012958751","","","in","","0","0","0","https://x.com/undefined/status/1935578306012958751","1897487771230724101",
"1935512054816981247","Thu Jun 19 05:35:40 +0000 2025","1","@anneserlo @Verraagustian_ #SaveRajaAmpat #SaveRajaAmpat #SaveRajaAmpat","1935572166592139505","","anneserlo","qme","","0","0","1","https://x.com/undefined/status/1935572166592139505","1882786182796644352",
"1935479179241472348","Thu Jun 19 05:01:22 +0000 2025","4","@DokterTifa #TerimakasihdrTifaCs Setelah Aceh Perjuangan Masih berlanjut #ManaIjazahAslimu #SaveRajaAmpat #LengserkanGibran 23 Juni https://t.co/rpjn1RsdMa","1935563536404721965","","DokterTifa","in","","0","0","3","https://x.com/undefined/status/1935563536404721965","1864781185165201408",
"1935563220770861315","Thu Jun 19 05:00:07 +0000 2025","0","Tahukah Kamu ? ... bahwa dalam sistem isyarat wigwag pesan tertulis dapat disampaikan secara jarak jauh dengan melambaikan sebuah bendera ke kiri atau ke kanan dengan urutan tertentu? #SaveRajaAmpat #IndonesiaEmas","1935563220770861315","","","in","","0","0","0","https://x.com/undefined/status/1935563220770861315","1872885865955115011",
"1935563216744231258","Thu Jun 19 05:00:06 +0000 2025","0","Tahukah Kamu ? ... bahwa Perang Utsmaniyah-Venesia IV adalah perang antara Kesultanan Utsmaniyah dan Republik Venesia yang berlangsung dari tahun 1570 sampai tahun 1573? #SaveRajaAmpat #IndonesiaEmas","1935563216744231258","","","in","","0","0","0","https://x.com/undefined/status/1935563216744231258","1891312552816287744",
"1935563214760325316","Thu Jun 19 05:00:06 +0000 2025","0","Tahukah Kamu ? ... bahwa dalam sistem isyarat wigwag pesan tertulis dapat disampaikan secara jarak jauh dengan melambaikan sebuah bendera ke kiri atau ke kanan dengan urutan tertentu? #SaveRajaAmpat #IndonesiaEmas","1935563214760325316","","","in","","0","0","0","https://x.com/undefined/status/1935563214760325316","1891685698157281282",
"1935558349975908570","Thu Jun 19 04:40:46 +0000 2025","0","#savetessonilo #savetntn #SaveRajaAmpat #SaveVillageSchool #savehutansumatra https://t.co/sWc7dKfEJf","1935558349975908570","https://pbs.twimg.com/ext_tw_video_thumb/1935558236888821760/pu/img/D-UDg672Nil73uzv.jpg","","qme","","0","0","0","https://x.com/undefined/status/1935558349975908570","415982172",
"1935551314966229009","Thu Jun 19 04:38:49 +0000 2025","3","#SaveRajaAmpat #iStandbyPapua #LengserkanGibran SURGA AKHIRAT URUSAN ULIL SURGA DI DUNIA BUKAN https://t.co/IgCudzCnTr","1935557859166794081","https://pbs.twimg.com/media/Gtx7nX4XYAAYASv.jpg","HarryPattyRM00","in","","0","0","2","https://x.com/undefined/status/1935557859166794081","1864781185165201408",
